(before (at c1 l2)),(before (at c2 l1)),(before (at t1 l1)),(before (at t1 l2)),(before (at t1 l3)),(before (at t2 l0)),(before (at t2 l1)),(before (at t2 l2)),(before (at t2 l3)),(before (available h1)),(before (available h2)),(before (clear c1)),(before (clear c2)),(before (clear p1)),(before (clear p2)),(before (clear p3)),(before (lifting h1 c2)),(before (lifting h2 c1)),(before (on c1 p2)),(before (on c1 p3)),(before (on c2 p1)),(after (at c1 l1)),(after (at c1 l2)),(after (at c1 l3)),(after (at c2 l1)),(after (at c2 l2)),(after (at c2 l3)),(after (at h1 l1)),(after (at h1 l2)),(after (at h1 l3)),(after (at h2 l1)),(after (at h2 l2)),(after (at h2 l3)),(after (at h3 l1)),(after (at h3 l2)),(after (at h3 l3)),(after (at p1 l1)),(after (at p1 l2)),(after (at p1 l3)),(after (at p2 l1)),(after (at p2 l2)),(after (at p2 l3)),(after (at p3 l1)),(after (at p3 l2)),(after (at p3 l3)),(after (at t1 l1)),(after (at t1 l2)),(after (at t1 l3)),(after (at t2 l0)),(after (at t2 l1)),(after (at t2 l2)),(after (at t2 l3)),(after (available h1)),(after (available h2)),(after (available h3)),(after (clear c1)),(after (clear c2)),(after (clear p1)),(after (clear p2)),(after (clear p3)),(after (in c1 t1)),(after (in c1 t2)),(after (in c2 t1)),(after (in c2 t2)),(after (is_crate c1)),(after (is_crate c2)),(after (is_hoist h1)),(after (is_hoist h2)),(after (is_hoist h3)),(after (is_surface c1)),(after (is_surface c2)),(after (is_surface p1)),(after (is_surface p2)),(after (is_surface p3)),(after (is_truck t1)),(after (is_truck t2)),(after (lifting h1 c1)),(after (lifting h1 c2)),(after (lifting h2 c1)),(after (lifting h2 c2)),(after (lifting h3 c1)),(after (lifting h3 c2)),(after (on c1 c1)),(after (on c1 c2)),(after (on c1 p1)),(after (on c1 p2)),(after (on c1 p3)),(after (on c2 c1)),(after (on c2 c2)),(after (on c2 p1)),(after (on c2 p2)),(after (on c2 p3)),Decision
False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,(drive t2 l3 l0)
False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,(lift h1 c2 p1 l1)
False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,(drop h1 c2 p1 l1)
False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,(drive t2 l1 l3)
False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,(drive t2 l2 l1)
True,False,False,True,False,False,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,(lift h2 c1 p3 l2)
False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,(drop h2 c1 p3 l2)
False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,(drive t2 l1 l2)
False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,(drive t1 l1 l2)
True,False,True,False,False,False,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,(lift h2 c1 p3 l2)
True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,(drive t1 l3 l1)
False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,(drop h2 c1 p3 l2)
True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,(lift h2 c1 p3 l2)
True,True,False,False,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,(lift h1 c2 p1 l1)
True,True,False,False,True,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,(drive t2 l0 l2)
True,True,True,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,(drive t1 l1 l3)
False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,(drop h2 c1 p3 l2)
False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,(drive t2 l2 l0)
True,True,True,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,(lift h2 c1 p2 l2)
True,True,True,False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,(drive t2 l0 l2)
True,False,True,False,False,True,False,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,(drop h1 c2 p1 l1)
True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,(drive t2 l2 l0)
True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,(drive t2 l1 l2)
True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,(drive t2 l2 l1)
True,True,True,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,(lift h1 c2 p1 l1)
True,True,False,False,True,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,(drive t1 l3 l1)
True,True,False,True,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,(drive t1 l2 l3)
True,True,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,(drive t2 l0 l1)
