(before at ball1 room1),(before at ball1 room2),(before at ball1 room3),(before at ball1 room4),(before at ball2 room1),(before at ball2 room2),(before at ball2 room3),(before at ball2 room4),(before at ball3 room1),(before at ball3 room2),(before at ball3 room3),(before at ball3 room4),(before at ball4 room1),(before at ball4 room2),(before at ball4 room3),(before at ball4 room4),(before at-robby robot1 room1),(before at-robby robot1 room2),(before at-robby robot1 room3),(before at-robby robot1 room4),(before carry robot1 ball1 lgripper1),(before carry robot1 ball1 rgripper1),(before carry robot1 ball2 lgripper1),(before carry robot1 ball2 rgripper1),(before carry robot1 ball3 lgripper1),(before carry robot1 ball3 rgripper1),(before carry robot1 ball4 lgripper1),(before carry robot1 ball4 rgripper1),(before free robot1 lgripper1),(before free robot1 rgripper1),action,(after at ball1 room1),(after at ball1 room2),(after at ball1 room3),(after at ball1 room4),(after at ball2 room1),(after at ball2 room2),(after at ball2 room3),(after at ball2 room4),(after at ball3 room1),(after at ball3 room2),(after at ball3 room3),(after at ball3 room4),(after at ball4 room1),(after at ball4 room2),(after at ball4 room3),(after at ball4 room4),(after at-robby robot1 room1),(after at-robby robot1 room2),(after at-robby robot1 room3),(after at-robby robot1 room4),(after carry robot1 ball1 lgripper1),(after carry robot1 ball1 rgripper1),(after carry robot1 ball2 lgripper1),(after carry robot1 ball2 rgripper1),(after carry robot1 ball3 lgripper1),(after carry robot1 ball3 rgripper1),(after carry robot1 ball4 lgripper1),(after carry robot1 ball4 rgripper1),(after free robot1 lgripper1),(after free robot1 rgripper1)
false,false,true,true,false,false,false,true,false,false,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,false,false,true,true,false,(move robot1 room2 room1),false,false,true,true,true,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true,true,true,true,true
false,false,true,true,true,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true,true,true,true,true,(pick robot1 ball3 room1 lgripper1),false,false,true,true,true,false,false,true,false,false,false,false,false,false,true,false,true,false,true,true,true,false,false,false,false,false,false,false,false,true
false,false,true,true,true,false,false,true,false,false,false,false,false,false,true,false,true,false,true,true,true,false,false,false,false,false,false,false,false,true,(move robot1 room1 room4),false,true,true,true,false,true,true,true,false,true,true,false,true,false,false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,true
false,true,true,true,false,true,true,true,false,true,true,false,true,false,false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,true,(drop robot1 ball3 room4 lgripper1),false,true,true,false,true,false,false,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,true,true,false,false,true,false,false
false,true,true,false,true,false,false,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,true,true,false,false,true,false,false,(pick robot1 ball2 room4 lgripper1),false,false,true,true,false,false,true,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,false,false,true,true,true
false,false,true,true,false,false,true,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,false,false,true,true,true,(move robot1 room4 room1),true,true,true,true,true,false,false,false,true,true,false,true,false,false,true,false,true,true,true,false,false,false,true,false,false,false,true,false,true,true
true,true,true,true,true,false,false,false,true,true,false,true,false,false,true,false,true,true,true,false,false,false,true,false,false,false,true,false,true,true,(move robot1 room1 room3),true,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,true,true,true,false
true,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,true,true,true,false,(pick robot1 ball4 room3 rgripper1),false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,false,true,false,true,true,false,false,false,false,false,false
false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,false,true,false,true,true,false,false,false,false,false,false,(drop robot1 ball2 room3 lgripper1),false,true,false,true,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,false,true,true,false
false,true,false,true,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,false,true,true,false,(move robot1 room3 room1),false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,true,false
false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,true,false,(pick robot1 ball5 room1 lgripper1),false,false,false,true,true,false,true,false,true,true,false,true,false,true,false,false,true,false,false,false,false,false,true,false,true,false,false,true,true,false
false,false,false,true,true,false,true,false,true,true,false,true,false,true,false,false,true,false,false,false,false,false,true,false,true,false,false,true,true,false,(drop robot1 ball4 room1 rgripper1),false,false,false,false,false,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true,false,false
false,false,false,false,false,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true,false,false,(move robot1 room1 room3),true,true,true,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true
false,true, , ,false,true, , , , , , , , , , ,true,true, , ,true,false,false,false, , , , ,true,true,(pick robot1 ball1 room2 lgripper1),true,true, , ,false,true, , , , , , , , , , ,false,true, , ,false,false,false,false, , , , ,true,true
true,true, , ,false,true, , , , , , , , , , ,false,true, , ,false,false,false,false, , , , ,true,true,(pick robot1 ball2 room2 rgripper1),true,false, , ,false,false, , , , , , , , , , ,true,false, , ,true,true,false,true, , , , ,false,false
true,false, , ,false,false, , , , , , , , , , ,true,false, , ,true,true,false,true, , , , ,false,false,(move robot1 room2 room1),false,false, , ,false,false, , , , , , , , , , ,false,true, , ,true,false,true,false, , , , ,false,true
false,false, , ,false,false, , , , , , , , , , ,false,true, , ,true,false,true,false, , , , ,false,true,(drop robot1 ball1 room1 lgripper1),false,true, , ,false,false, , , , , , , , , , ,false,false, , ,true,true,false,true, , , , ,true,false
true,false, , ,true,false, , ,true,true, , , , , , ,false,true, , ,true,false,true,false,false,false, , ,false,true,(pick robot1 ball2 room1 lgripper1),true,true, , ,false,false, , ,true,true, , , , , , ,false,false, , ,false,false,true,true,false,false, , ,true,false
true,true, , ,false,false, , ,true,true, , , , , , ,false,false, , ,false,false,true,true,false,false, , ,true,false,(move robot1 room1 room2),true,true, , ,true,false, , ,false,false, , , , , , ,false,true, , ,false,false,false,true,false,false, , ,false,false
true,true, , ,true,false, , ,false,false, , , , , , ,false,true, , ,false,false,false,true,false,false, , ,false,false,(pick robot1 ball3 room2 rgripper1),false,false, , ,false,false, , ,false,false, , , , , , ,false,false, , ,false,false,true,false,false,true, , ,false,false
false,false, , ,false,false, , ,false,false, , , , , , ,false,false, , ,false,false,true,false,false,true, , ,false,false,(drop robot1 ball2 room2 lgripper1),false,false, , ,false,true, , ,true,false, , , , , , ,false,true, , ,true,false,false,false,false,true, , ,false,false
false,false, , ,false,true, , ,true,false, , , , , , ,false,true, , ,true,false,false,false,false,true, , ,false,false,(pick robot1 ball1 room2 lgripper1),false,false, , ,true,true, , ,false,false, , , , , , ,false,true, , ,false,false,false,true,true,true, , ,true,false
false,false, , ,true,true, , ,false,false, , , , , , ,false,true, , ,false,false,false,true,true,true, , ,true,false,(move robot1 room2 room1),false,true, , ,true,false, , ,false,true, , , , , , ,true,false, , ,true,false,false,true,false,true, , ,false,false
false,true, , ,true,false, , ,false,true, , , , , , ,true,false, , ,true,false,false,true,false,true, , ,false,false,(drop robot1 ball1 room1 lgripper1),true,false, , ,false,false, , ,false,false, , , , , , ,true,true, , ,false,false,false,true,false,true, , ,false,false
false,false,false, ,true,true,false, , , , , , , , , ,false,false,false, ,false,false,false,false, , , , ,true,true,(move robot1 room3 room2),false,true,false, ,false,false,false, , , , , , , , , ,false,true,true, ,false,false,false,false, , , , ,true,true
false,true,false, ,false,false,false, , , , , , , , , ,false,true,true, ,false,false,false,false, , , , ,true,true,(pick robot1 ball1 room2 lgripper1),false,true,false, ,false,true,true, , , , , , , , , ,true,true,false, ,true,true,false,true, , , , ,false,true
false,true,false, ,false,true,true, , , , , , , , , ,true,true,false, ,true,true,false,true, , , , ,false,true,(pick robot1 ball2 room2 rgripper1),false,true,true, ,true,false,false, , , , , , , , , ,false,true,true, ,false,false,false,true, , , , ,true,false
false,true,true, ,true,false,false, , , , , , , , , ,false,true,true, ,false,false,false,true, , , , ,true,false,(move robot1 room2 room1),true,false,false, ,false,false,false, , , , , , , , , ,true,false,false, ,false,false,false,true, , , , ,false,false
true,false,false, ,false,false,false, , , , , , , , , ,true,false,false, ,false,false,false,true, , , , ,false,false,(drop robot1 ball2 room1 rgripper1),true,true,true, ,false,false,false, , , , , , , , , ,false,true,false, ,true,false,true,false, , , , ,false,true
true,true,true, ,false,false,false, , , , , , , , , ,false,true,false, ,true,false,true,false, , , , ,false,true,(move robot1 room1 room3),false,false,false, ,false,false,true, , , , , , , , , ,false,false,false, ,true,true,false,true, , , , ,false,false
false,true,true, ,true,false,true, ,false,true,false, , , , , ,true,true,true, ,false,true,true,false,false,false, , ,true,true,(pick robot1 ball1 room2 lgripper1),true,true,true, ,true,false,true, ,false,true,false, , , , , ,false,false,true, ,false,false,false,false,false,false, , ,false,false
true,true,true, ,true,false,true, ,false,true,false, , , , , ,false,false,true, ,false,false,false,false,false,false, , ,false,false,(move robot1 room2 room3),false,false,true, ,false,true,true, ,false,false,false, , , , , ,true,false,false, ,true,false,false,true,false,false, , ,true,false
false,false,true, ,false,true,true, ,false,false,false, , , , , ,true,false,false, ,true,false,false,true,false,false, , ,true,false,(pick robot1 ball2 room3 rgripper1),false,true,false, ,true,false,false, ,false,true,true, , , , , ,true,false,true, ,false,false,false,true,false,true, , ,false,false
false,true,false, ,true,false,false, ,false,true,true, , , , , ,true,false,true, ,false,false,false,true,false,true, , ,false,false,(drop robot1 ball1 room3 lgripper1),false,false,true, ,false,true,false, ,true,true,true, , , , , ,true,false,true, ,true,false,false,true,true,false, , ,true,false
false,false,true, ,false,true,false, ,true,true,true, , , , , ,true,false,true, ,true,false,false,true,true,false, , ,true,false,(move robot1 room3 room1),false,false,false, ,false,false,false, ,true,true,false, , , , , ,true,true,false, ,false,false,false,true,false,true, , ,true,false
false,false,false, ,false,false,false, ,true,true,false, , , , , ,true,true,false, ,false,false,false,true,false,true, , ,true,false,(move robot1 room1 room2),false,true,true, ,false,false,false, ,false,true,false, , , , , ,false,false,false, ,false,false,false,true,true,false, , ,true,true
false,true,true, ,false,false,false, ,false,true,false, , , , , ,false,false,false, ,false,false,false,true,true,false, , ,true,true,(pick robot1 ball3 room2 lgripper1),true,true,false, ,false,true,false, ,false,true,false, , , , , ,false,false,false, ,true,false,true,true,true,false, , ,true,false
true,true,false, ,false,true,false, ,false,true,false, , , , , ,false,false,false, ,true,false,true,true,true,false, , ,true,false,(drop robot1 ball2 room2 rgripper1),false,false,false, ,false,true,false, ,false,false,false, , , , , ,true,false,false, ,false,false,false,false,false,true, , ,false,true
false,false,false, ,false,true,false, ,false,false,false, , , , , ,true,false,false, ,false,false,false,false,false,true, , ,false,true,(move robot1 room2 room1),false,false,false, ,false,true,false, ,false,true,false, , , , , ,true,false,true, ,true,false,true,true,true,false, , ,false,true
true,false,false, ,true,false,false, ,true,false,false, ,false,true,true, ,true,false,false, ,false,false,false,true,false,true,true,false,true,true,(move robot1 room2 room1),true,true,false, ,true,false,true, ,true,false,false, ,false,false,true, ,true,false,false, ,false,true,false,false,true,true,false,false,true,true
true,true,false, ,true,false,true, ,true,false,false, ,false,false,true, ,true,false,false, ,false,true,false,false,true,true,false,false,true,true,(pick robot1 ball2 room1 lgripper1),false,false,false, ,false,false,false, ,true,false,false, ,false,true,true, ,true,false,false, ,false,true,true,true,true,false,false,false,true,false
false,false,false, ,false,false,false, ,true,false,false, ,false,true,true, ,true,false,false, ,false,true,true,true,true,false,false,false,true,false,(move robot1 room1 room2),true,true,false, ,true,false,false, ,false,false,false, ,true,false,false, ,false,true,false, ,true,true,true,false,false,false,false,true,false,true
true,true,false, ,true,false,false, ,false,false,false, ,true,false,false, ,false,true,false, ,true,true,true,false,false,false,false,true,false,true,(drop robot1 ball2 room2 lgripper1),false,false,false, ,false,true,false, ,true,true,false, ,true,false,false, ,false,true,true, ,false,false,false,true,false,false,false,true,true,false
false,false,false, ,false,true,false, ,true,true,false, ,true,false,false, ,false,true,true, ,false,false,false,true,false,false,false,true,true,false,(move robot1 room2 room1),true,false,false, ,false,false,false, ,true,true,false, ,false,true,true, ,true,true,false, ,true,false,false,false,false,false,true,false,true,true
true,false,false, ,false,false,false, ,true,true,false, ,false,true,true, ,true,true,false, ,true,false,false,false,false,false,true,false,true,true,(pick robot1 ball3 room1 lgripper1),true,false,false, ,true,true,false, ,false,false,false, ,true,true,true, ,true,true,false, ,true,false,false,false,false,false,false,false,false,true
true,false,false, ,true,true,false, ,false,false,false, ,true,true,true, ,true,true,false, ,true,false,false,false,false,false,false,false,false,true,(move robot1 room1 room2),true,false,false, ,true,true,false, ,true,true,true, ,false,false,true, ,false,true,true, ,true,false,false,false,false,false,false,false,false,true
true,false,false, ,true,true,false, ,true,true,true, ,false,false,true, ,false,true,true, ,true,false,false,false,false,false,false,false,false,true,(drop robot1 ball3 room2 lgripper1),true,false,true, ,false,false,false, ,false,true,true, ,false,true,true, ,false,true,true, ,true,false,false,false,true,false,false,true,false,false
true,false,true, ,false,false,false, ,false,true,true, ,false,true,true, ,false,true,true, ,true,false,false,false,true,false,false,true,false,false,(move robot1 room2 room1),true,false,false, ,false,true,true, ,false,true,false, ,false,false,true, ,true,false,false, ,false,false,true,true,false,true,false,true,true,true
true,false,false, ,false,true,true, ,false,true,false, ,false,false,true, ,true,false,false, ,false,false,true,true,false,true,false,true,true,true,(move robot1 room1 room3),true,false,false, ,false,true,false, ,false,false,true, ,false,true,true, ,false,true,true, ,false,true,false,false,false,false,false,false,true,true
true,false,false, ,false,true,false, ,false,false,true, ,false,true,true, ,false,true,true, ,false,true,false,false,false,false,false,false,true,true,(pick robot1 ball4 room3 lgripper1),true,true,false, ,true,true,true, ,true,false,true, ,false,false,false, ,false,false,true, ,false,false,false,false,false,true,true,true,true,true
true,true,false, ,true,true,true, ,true,false,true, ,false,false,false, ,false,false,true, ,false,false,false,false,false,true,true,true,true,true,(move robot1 room3 room1),true,true,true, ,false,true,false, ,false,true,false, ,true,false,true, ,false,false,false, ,true,false,false,true,false,false,true,false,false,false
false,true,false,true, , , , , , , , , , , , ,false,false,false,false,true,false, , , , , , ,false,true,(move robot1 room4 room1),true,false,false,true, , , , , , , , , , , , ,true,false,false,false,false,false, , , , , , ,true,false
true,false,false,true, , , , , , , , , , , , ,true,false,false,false,false,false, , , , , , ,true,false,(pick robot1 ball1 room1 lgripper1),false,true,false,false, , , , , , , , , , , , ,false,false,false,false,false,false, , , , , , ,true,true
false,true,false,false, , , , , , , , , , , , ,false,false,false,false,false,false, , , , , , ,true,true,(move robot1 room1 room4),true,false,false,true, , , , , , , , , , , , ,false,false,false,false,true,false, , , , , , ,false,true
false,true,false,false,false,true,true,true, , , , , , , , ,false,true,false,false,false,false,false,false, , , , ,true,false,(pick robot1 ball1 room3 lgripper1),false,false,false,false,false,false,true,true, , , , , , , , ,false,false,true,false,true,true,false,false, , , , ,false,true
false,false,false,false,false,false,true,true, , , , , , , , ,false,false,true,false,true,true,false,false, , , , ,false,true,(move robot1 room3 room2),true,true,true,false,false,false,false,true, , , , , , , , ,false,true,false,false,true,true,true,false, , , , ,false,true
true,true,true,false,false,false,false,true, , , , , , , , ,false,true,false,false,true,true,true,false, , , , ,false,true,(drop robot1 ball1 room2 lgripper1),true,false,false,false,false,false,true,true, , , , , , , , ,false,true,false,false,false,true,false,true, , , , ,false,true
true,false,false,false,false,false,true,true, , , , , , , , ,false,true,false,false,false,true,false,true, , , , ,false,true,(move robot1 room2 room4),true,true,false,false,false,false,false,false, , , , , , , , ,false,false,true,false,true,false,false,false, , , , ,false,false
true,true,false,false,false,false,false,false, , , , , , , , ,false,false,true,false,true,false,false,false, , , , ,false,false,(pick robot1 ball2 room4 lgripper1),true,true,false,false,false,false,false,false, , , , , , , , ,false,true,false,true,true,false,true,false, , , , ,true,true
true,true,false,false,false,false,false,false, , , , , , , , ,false,true,false,true,true,false,true,false, , , , ,true,true,(move robot1 room4 room2),false,true,false,false,true,true,false,false, , , , , , , , ,true,true,false,true,false,false,true,false, , , , ,false,true
false,true,true,true,false,true,false,false,false,true,false,true, , , , ,false,false,true,false,false,false,false,false,false,false, , ,true,true,(pick robot1 ball1 room3 lgripper1),true,false,false,false,false,false,false,true,false,false,true,false, , , , ,true,false,false,false,true,false,false,true,true,true, , ,false,true
true,false,false,false,false,false,false,true,false,false,true,false, , , , ,true,false,false,false,true,false,false,true,true,true, , ,false,true,(move robot1 room3 room2),false,false,true,false,false,false,true,true,true,false,true,true, , , , ,false,false,false,false,true,false,true,false,false,false, , ,true,false
false,false,true,false,false,false,true,true,true,false,true,true, , , , ,false,false,false,false,true,false,true,false,false,false, , ,true,false,(pick robot1 ball3 room2 rgripper1),true,false,false,true,true,false,false,true,false,false,false,false, , , , ,true,false,false,true,true,false,false,false,false,true, , ,true,false
true,false,false,true,true,false,false,true,false,false,false,false, , , , ,true,false,false,true,true,false,false,false,false,true, , ,true,false,(drop robot1 ball1 room2 lgripper1),true,false,false,false,false,false,false,true,true,true,false,false, , , , ,false,true,true,false,false,false,false,true,false,false, , ,true,false
true,false,false,false,false,false,false,true,true,true,false,false, , , , ,false,true,true,false,false,false,false,true,false,false, , ,true,false,(move robot1 room2 room3),false,false,false,true,false,true,true,true,false,false,false,false, , , , ,true,true,true,false,false,false,true,true,false,true, , ,true,false
false,false,true,false,true,true,false,false,true,true,false,true,false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,(pick robot1 ball1 room3 lgripper1),false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,true,false,true,true,true,true,false,false,false,false,false,false,false,true
false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,true,false,true,true,true,true,false,false,false,false,false,false,false,true,(pick robot1 ball4 room3 rgripper1),false,true,false,false,true,false,false,false,true,false,true,true,false,true,false,false,false,false,true,true,false,true,true,true,false,false,false,true,false,true
false,true,false,false,true,false,false,false,true,false,true,true,false,true,false,false,false,false,true,true,false,true,true,true,false,false,false,true,false,true,(move robot1 room3 room1),false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,false,false,true,true,true
false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,false,false,true,true,true,(drop robot1 ball4 room1 rgripper1),false,false,true,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,true,false,true,false,true,true,true,false,false,false,false,false
false,false,true,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,true,false,true,false,true,true,true,false,false,false,false,false,(move robot1 room1 room2),false,false,true,true,true,true,true,true,false,true,true,false,false,true,false,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false
